Kokuszreszelek,Mandulaliszt,Napraforgomag liszt,Sarga lenmagliszt,Lenmagliszt,Szojaliszt,Cikoria (kave),Karob por,Kakao,Szezammagliszt,Csicseriborso liszt,Gesztenyeliszt,Diolisz,Zabliszt
0.317500,0.314000,0.185500,0.181000,0.181000,0.158000,0.164000,0.146500,0.184000,0.206000,0.171500,0.186000,0.204000,0.186500
0.919708,0.817518,0.163942,0.105109,0.467153,0.029197,0.000000,0.000000,0.306569,0.223358,0.090511,0.052555,0.201460,0.102190
0.400000,0.225000,0.050000,0.090000,0.200000,0.020000,0.000000,0.000000,0.650000,0.133500,0.000000,0.030000,0.070000,0.065000
0.023273,0.014545,0.062655,0.010545,0.109091,0.060364,0.247273,0.185455,0.032364,0.053818,0.177091,0.269091,0.071636,0.214909
0.128000,0.080000,0.122400,0.054000,0.000000,0.008000,0.220000,0.754000,0.012000,0.000000,0.100000,0.480000,0.144000,0.022000
0.124000,0.420000,0.720800,0.738000,0.480000,0.920000,0.082000,0.089200,0.400000,1.030000,0.384000,0.126000,0.910000,0.260000
0.013913,0.000000,0.005217,0.026087,0.003478,0.001739,0.046957,0.005217,0.012174,0.017391,0.001217,0.001739,0.004904,0.005217
0.800000,0.372000,0.980000,1.396000,1.080000,0.680000,0.800000,1.424000,1.400000,0.584000,0.835720,0.376000,0.494872,0.408000
0.011538,0.178462,0.060000,0.196154,0.196154,0.185385,0.079231,0.267692,0.267692,0.114615,0.034615,0.049231,0.046923,0.039231
0.085600,0.409600,0.600000,0.513600,0.513600,0.007360,0.216800,0.063200,0.063200,0.605600,0.254400,0.109600,0.410400,0.333600
0.119048,0.597619,0.852381,0.933333,0.933333,0.690476,0.507143,0.128571,0.128571,0.804762,0.395238,0.176190,0.478571,0.307143
0.105556,0.178889,0.289444,0.316667,0.316667,0.511111,0.266667,0.161111,0.161111,0.788889,0.272222,0.133333,0.172222,0.211111
0.163636,0.254545,0.545455,0.390909,0.390909,0.227273,0.036364,0.081818,0.081818,0.909091,0.254545,0.036364,0.309091,0.258182
1.086957,0.786957,1.256522,1.086957,1.086957,1.304348,0.521739,0.217391,0.217391,0.608696,0.695652,0.521739,1.695652,1.482609
0.333333,1.083333,2.033333,1.333333,1.333333,4.555556,0.111111,0.666667,0.666667,1.555556,1.000000,0.777778,1.555556,0.456667
0.303636,0.127273,1.461818,0.461818,0.461818,0.030909,0.170909,0.096364,0.096364,0.625455,0.150909,0.180000,0.309091,0.527273
1.000000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.644444
0.857143,0.742857,1.028571,8.857143,0.885714,2.485714,0.082857,0.074286,0.074286,2.571429,10.285714,0.400000,0.657143,0.971429
0.011667,0.000000,0.000000,0.010000,0.010000,0.000000,0.036667,0.003333,0.003333,0.000000,0.000000,0.251667,0.028333,0.000000
0.020000,1.210000,1.260000,0.115000,0.015000,0.005000,0.005000,0.030000,0.030000,0.011400,0.040000,0.120000,0.090000,0.030000
0.025000,0.200000,0.348000,0.155000,0.155000,0.130000,1.085000,0.095000,0.095000,0.625000,0.090000,0.045000,0.025000,0.046300
0.070000,0.040000,0.084000,0.100000,0.100000,0.200000,0.010000,0.000000,0.000000,0.270000,0.060000,0.090000,0.170000,0.110000
0.150000,0.050000,0.380000,0.250000,0.250000,0.300000,0.000000,0.200000,0.200000,0.050000,0.250000,0.350000,0.300000,0.059500
0.000000,0.440000,0.298235,0.117647,0.117647,0.176471,0.176471,0.294118,0.294118,0.176471,0.058824,0.058824,0.058824,0.176471
0.000000,0.074667,0.315333,1.066667,1.066667,0.466667,0.000000,0.066667,0.066667,1.666667,0.333333,0.266667,0.066667,0.222667
0.000000,0.230333,1.566667,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,2.666667,2.300000,2.000000,1.333333,0.073333
0.020000,0.095000,0.422500,0.217500,0.217500,0.762500,0.000000,0.072500,0.072500,0.072500,1.092500,0.275000,0.077500,0.075000
0.000000,0.001111,0.001111,0.000000,0.000000,0.161111,0.000000,0.055556,0.055556,0.253333,0.166667,0.000000,0.161111,0.001111
0.003750,0.086250,0.012500,0.053750,0.053750,0.051250,2.250000,0.000000,0.000000,0.060000,0.113750,0.062500,0.033750,0.027500
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090000,0.000000,0.000000,0.090000
